rapidnas_id,rapidnas_name,iptv_org_id,iptv_org_name,country,programme_count,score,method,status,notes
elb1459,Eurosport 1,Eurosport1.fr,Eurosport 1,FR,145,1.0,exact,verified,
elb146,viju Explore,vijuExplore.ru,viju Explore,RU,238,1.0,exact,verified,
elb1461,Eurosport 2,Eurosport2.fr,Eurosport 2,FR,117,1.0,exact,verified,
elb1464,Еврокино,Evrokino.ru,Evrokino,RU,128,1.0,exact,verified,
elb1469,Extasy TV,EXTASYTV.cz,EXTASY TV,CZ,96,1.0,exact,verified,
elb147,viju History,vijuHistory.ru,viju History,RU,197,1.0,exact,verified,
elb148,viju Nature,vijuNature.ru,viju Nature,RU,207,1.0,exact,verified,
elb1480,FashionBox HD,FashionBox.nl,FashionBox,NL,255,1.0,exact,verified,
elb1481,Fast Sports 1,FastSports1.am,Fast Sports 1,AM,85,1.0,exact,verified,
elb1482,Fast Sports 2,FastSports2.am,Fast Sports 2,AM,84,1.0,exact,verified,
elb149,viju TV1000,vijuTV1000.ru,viju TV1000,RU,113,1.0,exact,verified,
elb1492,FightBox HD,FightBox.nl,FightBox,NL,84,1.0,exact,verified,
elb1497,FilmBox ArtHouse,FilmBoxArthouse.nl,FilmBox Arthouse,NL,16,1.0,exact,verified,
elb15,9 Волна,9Volna.ru,9 Volna,RU,0,1.0,exact,verified,
elb150,viju TV1000 Action,vijuTV1000action.ru,viju TV1000 action,RU,103,1.0,exact,verified,
elb152,viju TV1000 Русское,vijuTV1000russkoe.ru,viju TV1000 russkoe,RU,141,1.0,exact,verified,
elb153,viju+ Comedy,vijuPlusComedy.ru,viju+ Comedy,RU,121,1.0,exact,verified,
elb154,viju+ Megahit,vijuPlusMegahit.ru,viju+ Megahit,RU,103,1.0,exact,verified,
elb155,viju+ Planet,vijuPlusPlanet.ru,viju+ Planet,RU,299,1.0,exact,verified,
elb1558,Gametoon,Gametoon.nl,Gametoon,NL,251,1.0,exact,verified,
elb156,viju+ Premiere,vijuPlusPremiere.ru,viju+ Premiere,RU,115,1.0,exact,verified,
elb157,viju+ Serial,vijuPlusSerial.ru,viju+ Serial,RU,180,1.0,exact,verified,
elb1588,Armenia 1,Armenia1.am,Armenia 1,AM,249,1.0,exact,verified,
elb159,viju+ Sport,vijuPlusSport.ru,viju+ Sport,RU,0,1.0,exact,verified,
elb1590,Armenia 2,Armenia2.am,Armenia 2,AM,136,1.0,exact,verified,
elb160,VIVA Russia,VIVARussia.ru,VIVA Russia,RU,125,1.0,exact,verified,
elb1611,Hustler HD,HustlerHD.nl,Hustler HD,NL,171,1.0,exact,verified,
elb1617,ICTV2,ICTV2.ua,ICTV2,UA,117,1.0,exact,verified,
elb1618,ID Fashion,IDFashion.ua,ID Fashion,UA,1345,1.0,exact,verified,
elb163,Zooпарк,Zoopark.ru,Zoopark,RU,476,1.0,exact,verified,
elb164,Zooпарк,Zoopark.ru,Zoopark,RU,0,1.0,exact,verified,
elb166,Авто Плюс,AutoPlus.ru,Auto Plus,RU,780,1.0,exact,verified,
elb1675,TV3 Mini,TV3Mini.lv,TV3 Mini,LV,315,1.0,exact,verified,
elb168,Арсенал,Arsenal.ru,Arsenal,RU,254,1.0,exact,verified,
elb1680,Карусель (+2),Carousel.ru,Carousel,RU,208,1.0,exact,verified,
elb1681,Карусель (+3),Carousel.ru,Carousel,RU,206,1.0,exact,verified,
elb1682,Карусель (+4),Carousel.ru,Carousel,RU,200,1.0,exact,verified,
elb1683,Карусель (+7),Carousel.ru,Carousel,RU,197,1.0,exact,verified,
elb1684,Карусель (+8),Carousel.ru,Carousel,RU,197,1.0,exact,verified,
elb169,Арт,ART.gr,ART,GR,234,1.0,exact,verified,
elb17,Amedia 1,A1.ru,A1,RU,240,1.0,exact,verified,
elb170,Башкортостан 24,Bashkortostan24.ru,Bashkortostan 24,RU,423,1.0,exact,verified,
elb171,Беларусь 24,Belarus24.by,Belarus-24,BY,354,1.0,exact,verified,
elb1718,Kentron TV,KentronTV.am,Kentron TV,AM,318,1.0,exact,verified,
elb172,БелРос,BelRos.ru,BelRos,RU,25,1.0,exact,verified,
elb1722,Kidzone Max,KidZoneMax.ee,KidZone Max,EE,470,1.0,exact,verified,
elb1723,Kidzone Mini,KidZoneMini.ee,KidZone Mini,EE,666,1.0,exact,verified,
elb1727,Kino 24,Kino24.ru,Kino 24,RU,98,1.0,exact,verified,
elb173,Блокбастер HD,Blokbaster.ru,Blokbaster,RU,99,1.0,exact,verified,
elb1735,Кино 18+,Kino18Plus.ru,Kino 18+,RU,127,1.0,exact,verified,
elb1736,Кино 18+ International,Kino18PlusInternational.ru,Kino 18+ International,RU,56,1.0,exact,verified,
elb1737,Кино 1 International,Kino1International.ru,Kino 1 International,RU,121,1.0,exact,verified,
elb174,БОКС ТВ,BoksTV.ru,Boks TV,RU,313,1.0,exact,verified,
elb1741,Kinojam 1,KinoJam1.ru,KinoJam 1,RU,148,1.0,exact,verified,
elb1742,Kinojam 2,KinoJam2.ru,KinoJam 2,RU,133,1.0,exact,verified,
elb175,Большая Азия,BigAsia.ru,Big Asia,RU,534,1.0,exact,verified,
elb1763,КиноСезон,KinoSezon.ru,KinoSezon,RU,195,1.0,exact,verified,
elb177,В гостях у сказки,Vgostyakhuskazki.ru,V gostyakh u skazki,RU,872,1.0,exact,verified,
elb1773,KION Хит,KIONHIT.ru,KION HIT,RU,242,1.0,exact,verified,
elb1775,Классика Кино,MovieClassic.ru,Movie Classic,RU,109,1.0,exact,verified,
elb178,В гостях у сказки HD,Vgostyakhuskazki.ru,V gostyakh u skazki,RU,872,1.0,exact,verified,
elb1781,Комедийное HD,Komediynoe.ru,Komediynoe,RU,105,1.0,exact,verified,
elb179,В мире животных HD,Vmirezhivotnykh.ru,V mire zhivotnykh,RU,275,1.0,exact,verified,
elb1799,Россия К +2,RussiaK.ru,Russia-K,RU,192,1.0,exact,verified,
elb18,Amedia 1 HD,A1.ru,A1,RU,240,1.0,exact,verified,
elb180,ВМЕСТЕ РФ,VmesteRF.ru,Vmeste-RF,RU,512,1.0,exact,verified,
elb1800,Россия К +4,RussiaK.ru,Russia-K,RU,188,1.0,exact,verified,
elb1801,Россия К +7,RussiaK.ru,Russia-K,RU,184,1.0,exact,verified,
elb181,Волга,Volga.ru,Volga,RU,183,1.0,exact,verified,
elb182,Вопросы и ответы,VoprosyiOtvety.ru,Voprosy i Otvety,RU,269,1.0,exact,verified,
elb184,Глазами туриста HD,GlazamiTurista.ru,Glazami Turista,RU,350,1.0,exact,verified,
elb185,Грозный,Groznyj.ru,Groznyj,RU,242,1.0,exact,verified,
elb186,День Победы HD,DenPobedy.ru,Den Pobedy,RU,130,1.0,exact,verified,
elb187,Детский мир,Detskimir.ru,Detski mir,RU,826,1.0,exact,verified,
elb1879,Лёва,Leva.ru,Leva,RU,564,1.0,exact,verified,
elb1883,Live Music Channel HD,LiveMusicChannel.ru,Live Music Channel,RU,167,1.0,exact,verified,
elb1884,LNK,LNK.lt,LNK,LT,188,1.0,exact,verified,
elb1888,Love Nature 4K,LoveNature.ca,Love Nature,CA,211,1.0,exact,verified,
elb189,Диалоги о рыбалке HD,Dialogiorybalke.ru,Dialogi o rybalke,RU,393,1.0,exact,verified,
elb1891,LRT Televizija HD,LRTTV.lt,LRT TV,LT,294,1.0,exact,verified,
elb1892,LTV1,LTV1.lv,LTV1,LV,337,1.0,exact,verified,
elb1893,LTV7,LTV7.lv,LTV7,LV,238,1.0,exact,verified,
elb19,Amedia 2,A2.ru,A2,RU,238,1.0,exact,verified,
elb190,Дикая охота HD,Dikayaokhota.ru,Dikaya okhota,RU,0,1.0,exact,verified,
elb191,Дикая рыбалка HD,Dikayarybalka.ru,Dikaya rybalka,RU,0,1.0,exact,verified,
elb192,Доктор,Doctor.ru,Doctor,RU,277,1.0,exact,verified,
elb193,Доктор HD,Doctor.ru,Doctor,RU,277,1.0,exact,verified,
elb194,Домашние животные,DomashnieZhivotnye.ru,Domashnie Zhivotnye,RU,589,1.0,exact,verified,
elb1941,Матч! Планета,MatchPlaneta.ru,Match! Planeta,RU,160,1.0,exact,verified,
elb1946,MAX Sport 1,MaxSport1.bg,Max Sport 1,BG,97,1.0,exact,verified,
elb1948,MAX Sport 2,MaxSport2.bg,Max Sport 2,BG,102,1.0,exact,verified,
elb1949,MAX Sport 3,MaxSport3.bg,Max Sport 3,BG,99,1.0,exact,verified,
elb195,Домашний,Domashniy.ru,Domashniy,RU,242,1.0,exact,verified,
elb1950,MAX Sport 4,MaxSport4.bg,Max Sport 4,BG,101,1.0,exact,verified,
elb1954,Medeniyyet TV,MedeniyyetTV.az,Medeniyyet TV,AZ,185,1.0,exact,verified,
elb196,Дорама HD,Dorama.ru,Dorama,RU,159,1.0,exact,verified,
elb1964,Megogo Спорт,MEGOGOSport.ua,MEGOGO Sport,UA,136,1.0,exact,verified,
elb197,Драйв,Drive.ru,Drive,RU,389,1.0,exact,verified,
elb198,Еврокино,Evrokino.ru,Evrokino,RU,120,1.0,exact,verified,
elb199,ЕГЭ ТВ,EGETV.ru,EGE TV,RU,614,1.0,exact,verified,
elb20,Amedia 2 HD,A2.ru,A2,RU,238,1.0,exact,verified,
elb201,Жар птица,ZharPtitsa.ru,Zhar Ptitsa,RU,114,1.0,exact,verified,
elb202,Жара!,Zhara.ru,Zhara,RU,163,1.0,exact,verified,
elb203,Жара! HD,Zhara.ru,Zhara,RU,163,1.0,exact,verified,
elb204,Живая Планета,ZhivayaPlaneta.ru,Zhivaya Planeta,RU,338,1.0,exact,verified,
elb205,Живая природа HD,Zhivayapriroda.ru,Zhivaya priroda,RU,862,1.0,exact,verified,
elb2051,Министерство идей,Ministerstvoidey.ru,Ministerstvo idey,RU,747,1.0,exact,verified,
elb2052,Яснае ТВ,YASNAeTV.by,YASNAe TV,BY,380,1.0,exact,verified,
elb206,Живи HD,Zhivi.ru,Zhivi!,RU,399,1.0,exact,verified,
elb2063,Мир вокруг,Mirvokrug.ru,Mir vokrug,RU,464,1.0,exact,verified,
elb208,Живи!,Zhivi.ru,Zhivi!,RU,399,1.0,exact,verified,
elb209,Загородный,Zagorodnyy.ru,Zagorodnyy,RU,409,1.0,exact,verified,
elb21,Amedia Hit HD,AmediaHit.ru,Amedia Hit,RU,241,1.0,exact,verified,
elb210,Звезда,Zvezda.ru,Zvezda,RU,203,1.0,exact,verified,
elb211,Звезда Плюс HD,ZvezdaPlus.ru,Zvezda Plus,RU,263,1.0,exact,verified,
elb2111,Моя стихия,Moyastikhiya.ru,Moya stikhiya,RU,284,1.0,exact,verified,
elb2114,Мосфильм. Золотая коллекция (+4),MosfilmGoldCollection.ru,Mosfilm Gold Collection,RU,168,1.0,exact,verified,
elb212,Здоровое ТВ,ZdorovoeTV.ru,Zdorovoe TV,RU,449,1.0,exact,verified,
elb2127,MTV Dance,ClubMTVEurope.uk,Club MTV Europe,UK,0,1.0,exact,verified,
elb2128,MTV [DE],MTV.de,MTV,DE,133,1.0,exact,verified,
elb2129,MTV Europe,MTVGlobal.uk,MTV Global,UK,357,1.0,exact,verified,
elb213,Известия HD,Izvestia.ru,Izvestia,RU,1701,1.0,exact,verified,
elb214,Иллюзион+,IllusionPlus.ru,Illusion+,RU,104,1.0,exact,verified,
elb215,Индийское кино,IndiyskoyeKino.ru,Indiyskoye Kino,RU,64,1.0,exact,verified,
elb216,Индия,India.ru,India,RU,470,1.0,exact,verified,
elb2165,MuzZone,MuzzOne.kz,MuzzOne,KZ,639,1.0,exact,verified,
elb217,Индия HD,India.ru,India,RU,470,1.0,exact,verified,
elb2176,Надежда,HopeChannelRussia.ru,Hope Channel Russia,RU,463,1.0,exact,verified,
elb218,Инсайт ТВ UHD,InsaytTV.ru,Insayt TV,RU,311,1.0,exact,verified,
elb2188,Наша Сибирь 4K,NashaSibir.ru,Nasha Sibir,RU,1569,1.0,exact,verified,
elb219,История,Istoriya.ru,Istoriya,RU,228,1.0,exact,verified,
elb2191,Любимое HD,Lyubimoe.ru,Lyubimoe,RU,131,1.0,exact,verified,
elb2198,Наше HD,Nashe.ru,Nashe,RU,130,1.0,exact,verified,
elb22,Amedia Premium HD,AmediaPremium.ru,Amedia Premium,RU,228,1.0,exact,verified,
elb220,Кавказ 24,Kavkaz24.ru,Kavkaz 24,RU,429,1.0,exact,verified,
elb2200,Настоящее время HD,CurrentTimeTV.cz,Current Time TV,CZ,231,1.0,exact,verified,
elb221,Калейдоскоп ТВ,KaleidoscopeTV.ru,Kaleidoscope TV,RU,264,1.0,exact,verified,
elb2216,Неизвестная Планета,Neizvestnayaplaneta.ru,Neizvestnaya planeta,RU,330,1.0,exact,verified,
elb222,Камеди HD,Kamedi.ru,Kamedi,RU,159,1.0,exact,verified,
elb2221,NFL Network,NFLNetwork.us,NFL Network,US,104,1.0,exact,verified,
